1, 22-01-2018 13:00:00, ON, STOP1, Company1, Bus37, 5500005555555559
2, 22-01-2018 13:05:00, OFF, STOP2, Company1, Bus37, 5500005555555559
3, 22-01-2018 14:05:00, ON, STOP2, Company1, Bus37, 5500005555555559
4, 22-01-2018 14:20:00, OFF, STOP3, Company1, Bus37, 5500005555555559
5, 22-01-2018 14:30:00, ON, STOP3, Company1, Bus37, 5500005555555559
6, 22-01-2018 14:35:00, OFF, STOP1, Company1, Bus37, 5500005555555559
7, 22-01-2018 14:40:00, ON, STOP1, Company1, Bus37, 5500005555555559
8, 22-01-2018 14:42:00, OFF, STOP1, Company1, Bus37, 5500005555555559
9, 22-01-2018 14:45:00, ON, STOP1, Company1, Bus37, 5500005555555559
10, 22-01-2018 14:46:00, ON, STOP1, Company1, Bus37, 5500005555555888
11, 22-01-2018 14:47:00, OFF, STOP1, Company1, Bus37, 5500005555555888
